"filename", "language", "Python", "JSON", "comment", "blank", "total"
"c:\Users\Tristan\Downloads\ExoSeer\CNN.py", "Python", -88, 0, -17, -16, -121
"c:\Users\Tristan\Downloads\ExoSeer\CNNEvaluation.py", "Python", 78, 0, 6, 23, 107
"c:\Users\Tristan\Downloads\ExoSeer\CNNTesting.py", "Python", -88, 0, -17, -16, -121
"c:\Users\Tristan\Downloads\ExoSeer\CNNTesting_binAccuracy.py", "Python", 132, 0, 19, 41, 192
"c:\Users\Tristan\Downloads\ExoSeer\CNN_accuracy.py", "Python", 132, 0, 19, 41, 192
"c:\Users\Tristan\Downloads\ExoSeer\dataGeneration.py", "Python", 0, 0, 0, 1, 1
"c:\Users\Tristan\Downloads\ExoSeer\graphs.ipynb", "JSON", 0, 148, 0, 1, 149
"c:\Users\Tristan\Downloads\ExoSeer\math.ipynb", "JSON", 0, -888, 0, -1, -889
"c:\Users\Tristan\Downloads\ExoSeer\test.ipynb", "JSON", 0, -1105, 0, -1, -1106
"Total", "-", 166, -1845, 10, 73, -1596